template_code,dress_type,gender,culture,style_tags,base_hue_family,image_file,mask_file,notes
shirt-trousers_m_01,shirt-trousers,male,western,formal,,shirt-trousers_m_01.jpg,shirt-trousers_m_01_mask.png,design drop M1; primary garment: shirt; coverage 14.0%
kurta-pajama_m_01,kurta-pajama,male,tamil,traditional,,kurta-pajama_m_01.jpg,kurta-pajama_m_01_mask.png,design drop M1b; primary garment: kurta; coverage 23.5%
blazer-chinos_m_01,blazer-chinos,male,western,formal;smart-casual,,blazer-chinos_m_01.jpg,blazer-chinos_m_01_mask.png,design drop M2; primary garment: blazer; coverage 15.5%
two-piece-suit_m_01,two-piece-suit,male,western,formal,,two-piece-suit_m_01.jpg,two-piece-suit_m_01_mask.png,design drop M3; primary garment: jacket; coverage 17.5%
three-piece-suit_m_01,three-piece-suit,male,western,formal,,three-piece-suit_m_01.jpg,three-piece-suit_m_01_mask.png,design drop M4; primary garment: jacket; coverage 6.5%
tuxedo_m_01,tuxedo,male,western,formal;party,,tuxedo_m_01.jpg,tuxedo_m_01_mask.png,design drop M5; primary garment: jacket; coverage 13.0%
kurta-dhoti_m_01,kurta-dhoti,male,tamil,traditional;festive,,kurta-dhoti_m_01.jpg,kurta-dhoti_m_01_mask.png,design drop M6; primary garment: kurta; coverage 20.4%
nehru-jacket_m_01,nehru-jacket,male,fusion,formal;festive,,nehru-jacket_m_01.jpg,nehru-jacket_m_01_mask.png,design drop M7; primary garment: jacket; coverage 10.1%
sherwani_m_01,sherwani,male,tamil,traditional;festive,,sherwani_m_01.jpg,sherwani_m_01_mask.png,design drop M8; primary garment: sherwani; coverage 21.6%
bandhgala_m_01,bandhgala,male,fusion,formal;festive,,bandhgala_m_01.jpg,bandhgala_m_01_mask.png,design drop M9; primary garment: bandhgala; coverage 16.1%
pathani-suit_m_01,pathani-suit,male,tamil,traditional,,pathani-suit_m_01.jpg,pathani-suit_m_01_mask.png,design drop M10; primary garment: kurta; coverage 18.2%
polo-jeans_m_01,polo-jeans,male,western,casual,,polo-jeans_m_01.jpg,polo-jeans_m_01_mask.png,design drop M11; primary garment: polo; coverage 12.5%
casual-coord_m_01,casual-coord,male,western,casual,,casual-coord_m_01.jpg,casual-coord_m_01_mask.png,design drop M12; primary garment: top; coverage 10.8%
formal-shirt-pants_m_01,formal-shirt-pants,male,western,formal,,formal-shirt-pants_m_01.jpg,formal-shirt-pants_m_01_mask.png,design drop M13; primary garment: shirt; coverage 13.1%
saree_f_01,saree,female,tamil,traditional;festive,,saree_f_01.jpg,saree_f_01_mask.png,design drop W0; primary garment: saree; coverage 30.7%
lehenga-choli_f_01,lehenga-choli,female,tamil,traditional;festive,,lehenga-choli_f_01.jpg,lehenga-choli_f_01_mask.png,design drop W1; primary garment: lehenga; coverage 20.3%
anarkali_f_01,anarkali,female,tamil,traditional;festive,,anarkali_f_01.jpg,anarkali_f_01_mask.png,design drop W2; primary garment: anarkali; coverage 38.4%
salwar-suit_f_01,salwar-suit,female,tamil,traditional,,salwar-suit_f_01.jpg,salwar-suit_f_01_mask.png,design drop W2b; primary garment: kameez; coverage 18.1%
kurta-palazzo_f_01,kurta-palazzo,female,tamil,casual;traditional,,kurta-palazzo_f_01.jpg,kurta-palazzo_f_01_mask.png,design drop W3; primary garment: kurta; coverage 24.0%
sharara_f_01,sharara,female,tamil,traditional;festive,,sharara_f_01.jpg,sharara_f_01_mask.png,design drop W4; primary garment: kameez; coverage 24.3%
gharara_f_01,gharara,female,tamil,traditional;festive,,gharara_f_01.jpg,gharara_f_01_mask.png,design drop W5; primary garment: kameez; coverage 13.0%
gown_f_01,gown,female,western,party;formal,,gown_f_01.jpg,gown_f_01_mask.png,design drop W6; primary garment: gown; coverage 22.9%
maxi-dress_f_01,maxi-dress,female,western,casual;party,,maxi-dress_f_01.jpg,maxi-dress_f_01_mask.png,design drop W7; primary garment: maxi; coverage 27.4%
midi-dress_f_01,midi-dress,female,western,casual;party,,midi-dress_f_01.jpg,midi-dress_f_01_mask.png,design drop W8; primary garment: midi; coverage 16.5%
jumpsuit_f_01,jumpsuit,female,western,party;casual,,jumpsuit_f_01.jpg,jumpsuit_f_01_mask.png,design drop W9; primary garment: jumpsuit; coverage 22.4%
skirt-blouse_f_01,skirt-blouse,female,western,casual,,skirt-blouse_f_01.jpg,skirt-blouse_f_01_mask.png,design drop W10; primary garment: skirt; coverage 14.5%
blazer-trousers_f_01,blazer-trousers,female,western,formal,,blazer-trousers_f_01.jpg,blazer-trousers_f_01_mask.png,design drop W11; primary garment: blazer; coverage 6.6%
western-coord_f_01,western-coord,female,western,casual,,western-coord_f_01.jpg,western-coord_f_01_mask.png,design drop W12; primary garment: bottom; coverage 17.2%
kaftan_f_01,kaftan,female,fusion,casual;festive,,kaftan_f_01.jpg,kaftan_f_01_mask.png,design drop W13; primary garment: kaftan; coverage 28.9%
jeans-top_f_01,jeans-top,female,western,casual,,jeans-top_f_01.jpg,jeans-top_f_01_mask.png,design drop W14; primary garment: top; coverage 4.6%
